severity,file,term,first_use_char_offset,occurrences,gloss_anywhere_on_page,first_use_in_table_or_callout,first_use_in_faq,term_load_bearing_for_page,first_use_context
LOW,20435_partnership-voluntary-arrangements.html,Official Receiver,19379,1,no,no,no,no,"ts are realised and distributed to creditors in the statutory order of priority, with the Official Receiver or a licensed IP acting as liquidator. Winding up does not automatically lead to individual "
LOW,20435_partnership-voluntary-arrangements.html,preference (unlawful),3832,1,no,no,no,no,"e longer you trade under creditor pressure without formal advice, the greater the risk of preference claims and wrongful trading exposure. You also need advice that covers both the partnership positio"
LOW,20435_partnership-voluntary-arrangements.html,winding-up order (vs petition),19241,1,yes,no,no,no,"ition against the partnership. The court fee for a winding-up petition is £352. Once a winding-up order is made, the partnership's assets are realised and distributed to creditors in the statutory ord"
LOW,20435_partnership-voluntary-arrangements.html,wrongful trading,3854,1,yes,no,no,no,"er creditor pressure without formal advice, the greater the risk of preference claims and wrongful trading exposure. You also need advice that covers both the partnership position and your personal po"
LOW,20681_can-director-criminal-record.html,CVL,3120,1,no,no,no,no,"ment where the director moved a company van into a friend's garage the weekend before the CVL. Destruction or falsification of records (section 209). Destroying, altering, or falsifying company"
LOW,21011_what-is-limited-liability.html,misfeasance,6243,5,yes,no,no,no,al liability for company debts. Criminal sanctions sit alongside the civil claim. Misfeasance. Section 212 of the Insolvency Act 1986. Breach of a statutory or fiduciary duty that caused loss to the c
LOW,21011_what-is-limited-liability.html,preference (unlawful),10678,1,no,no,no,no,"ere fine yesterday, a dividend, a bonus, clearing the director's loan account, can become preferences or misfeasance if made after the solvency line has moved. Continuing to trade is not automatically"
LOW,21122_shareholders-liable-company-debts.html,preferential debt / creditor,21968,1,yes,no,no,no,"ation you can claim for the loan, but if it is unsecured you rank behind secured lenders, preferential creditors and HMRC, so recovery is often limited. A director's loan the other way, where you owe "
LOW,21122_shareholders-liable-company-debts.html,wrongful trading,4423,6,yes,no,no,no,"the exposure is different: directors can be personally liable for company debts through wrongful trading claims, personal guarantees, overdrawn loan accounts, and specific HMRC regimes in defined tax "
LOW,22277_insolvent-company-owes-me-money.html,IP (insolvency practitioner),5066,13,yes,no,no,no,"s partly contested, claim the agreed sum and note the disputed portion separately, so the IP has something to admit rather than reject. What Retention of Title and Set-Off Mean for Your Position"
LOW,22277_insolvent-company-owes-me-money.html,Official Receiver,2164,2,yes,no,no,no,"on , or County Court action, and the fees are known (£352 court fee on a petition, £2,600 Official Receiver deposit on top). Where Your Claim Sits Against an Insolvent Company Your recovery is not set"
LOW,22277_insolvent-company-owes-me-money.html,debenture,2477,1,no,no,no,no,"a fixed waterfall. Secured creditors with a fixed charge (usually the bank holding a debenture) are paid first from the asset they hold. Next come the expenses of the insolvency, then ordinary prefere"
LOW,22277_insolvent-company-owes-me-money.html,winding-up order (vs petition),11359,1,yes,no,yes,no,"No. Section 130 IA 1986 imposes an automatic stay on new proceedings once a winding-up order is made, and a creditors' voluntary liquidation has the same practical effect. Your remedy is the Proof of "
LOW,22277_insolvent-company-owes-me-money.html,wrongful trading,8374,1,no,no,no,no,"s own claims. The liquidator can bring misfeasance proceedings under section 212 IA 1986, wrongful trading under section 214, preferences under section 239, or transactions at undervalue under section"
LOW,22554_limited-company-bankruptcy.html,Official Receiver,4386,1,yes,no,no,no,"liquidation is initiated by a creditor petitioning the court. You lose all control. The Official Receiver takes over and investigates your conduct. If a creditor is threatening a winding-up petition ,"
LOW,22785_the-risks-of-signing-a-personal-guarantee.html,IP (insolvency practitioner),18044,1,yes,no,no,no,"ory firm. Where a called PG sits alongside company insolvency, we can act as the licensed IP under separate engagement. Nothing on this page is a substitute for tailored legal or insolvency advice on "
LOW,22785_the-risks-of-signing-a-personal-guarantee.html,IVA,14454,1,yes,no,no,no,"registers for six years from judgment; bankruptcy registers for six years from order; an IVA registers for six years or the duration of the arrangement, whichever is longer. Not on the face o"
LOW,22899_privacy-policy.html,IP (insolvency practitioner),4160,1,no,no,no,no,"s website are usually transferred to a Google server in the USA and stored there. If the IP anonymisation option is activated on this website, your IP address is abbreviated by Google within Member St"
LOW,23698_how-much-does-liquidation-cost.html,National Insurance Fund,13740,1,no,no,no,no,"ges, holiday pay and notice pay from the Redundancy Payments Service. It is paid from the National Insurance Fund rather than out of company assets, and it is the same statutory scheme that protects y"
LOW,23698_how-much-does-liquidation-cost.html,Official Receiver,11999,3,yes,no,no,no,"it upfront, and where the company has sufficient assets, allowable petition costs and the Official Receiver's fees may ultimately be met from the estate. What you may choose to contribute. Where the c"
LOW,23698_how-much-does-liquidation-cost.html,officeholder / office-holder,14015,1,no,no,no,no,"y the company. Being a director does not create the entitlement, because a director is an office-holder who may or may not also be an employee. The Redundancy Payments Service assesses whether a genui"
LOW,23698_how-much-does-liquidation-cost.html,served / service,25319,1,no,no,yes,no,"in the cases we handle. Every claim is assessed independently by the Redundancy Payments Service on its own evidence, and we cannot guarantee an outcome. We do not publish an average director redundan"
LOW,24080_can-we-trade-out-of-insolvency.html,CVA,7444,3,yes,no,no,no,res 75% in value of creditors voting to approve. You stay in day-to-day control. See our CVA guide . Part A1 Moratorium (inserted by CIGA 2020). A standalone 20-business-day moratorium from cre
LOW,24080_can-we-trade-out-of-insolvency.html,IP (insolvency practitioner),4052,7,yes,no,no,no,"able handing to a liquidator on day one. Professional advice on file. A licensed IP or an insolvency-specialist solicitor consulted before the trade-on decision, with the advice recorded in wri"
LOW,24080_can-we-trade-out-of-insolvency.html,statutory demand,6255,1,no,no,no,no,"able. That means the shift can happen well before formal insolvency, well before a statutory demand, well before a winding-up petition. It happens at the point where a diligent director looking at the"
LOW,24080_can-we-trade-out-of-insolvency.html,wrongful trading,2359,4,yes,no,no,no,"tor-interest lens. On top of that sits section 214 of the Insolvency Act 1986, the wrongful trading provision. If the company goes into insolvent liquidation and it is shown you knew, or a reasonably "
LOW,24402_what-are-the-duties-and-responsibilities-of-a-company-director.html,preference (unlawful),7447,1,no,no,no,no,"ce of compliance. Do not make selective payments. Pay in the ordinary course only. No preferences to connected parties. Declare conflicts. If you have any interest in any transaction with the company,"
LOW,24434_what-is-a-freezing-order-or-injunction.html,CVL,8449,1,no,no,no,no,"petition while frozen , a winding-up petition, an administration application, or your own CVL resolution, the freezing-order regime continues to bind you personally. The insolvency practitioner, once "
LOW,24434_what-is-a-freezing-order-or-injunction.html,IP (insolvency practitioner),6582,2,yes,no,no,no,"duties shift under BTI v Sequana , creditor interests must now be considered. A licensed IP conversation is prudent in parallel with the litigation response. The Ordinary Course of Business E"
LOW,24434_what-is-a-freezing-order-or-injunction.html,disposition,8848,1,no,no,no,no,"vency Act 1986 section 127 then bites in parallel with the freezing order. Post-petition dispositions are void unless the court validates them, which means the company cannot safely transact even on """
LOW,24434_what-is-a-freezing-order-or-injunction.html,validation order,8995,1,yes,no,no,no,"ich means the company cannot safely transact even on ""ordinary course"" payments without a validation order from the Companies Court. If the company is placed into administration or liquidation , the m"
LOW,24589_pub-closures-in-the-uk.html,Time to Pay,20270,3,no,no,no,no,"we would point you toward turns on exactly that question. Options range from a Time to Pay arrangement with HMRC, through a Company Voluntary Arrangement or administration where the business can be re"
LOW,24760_what-are-fixed-and-floating-charges.html,wrongful trading,6076,1,no,no,no,no,ects your personal position in two ways. 1. What is left for creditors determines wrongful trading exposure. If the bank's fixed charge consumes the most valuable asset and the floating charge (after 
LOW,25310_validation-order.html,IP (insolvency practitioner),7462,4,yes,no,no,no,"to several thousand pounds; a contested one to substantially more. Accountant or IP support , where management accounts or cash-flow projections need to be produced or verified. The o"
LOW,25310_validation-order.html,preference (unlawful),3835,3,yes,no,no,no,"nusual transactions. Arm's-length terms , the transaction is at market rates, not a preference or a transaction at undervalue. Good faith , the company, the directors, and the counterparty are act"
LOW,25310_validation-order.html,transaction at an undervalue,3853,1,no,no,no,no,"s. Arm's-length terms , the transaction is at market rates, not a preference or a transaction at undervalue. Good faith , the company, the directors, and the counterparty are acting honestly, with ful"
LOW,25310_validation-order.html,winding-up order (vs petition),2668,3,yes,no,no,no,"der section 129, is deemed to be the date the petition was presented, not the date of the winding-up order. The statutory freeze serves a creditor-protection purpose. Without it, directors could drain"
LOW,26139_company-cash-flow-problems.html,CVA,4733,3,yes,no,no,no,"nduct reviewed. Each stage narrows your options. The restructuring window for a CVA or administration closes sharply once a petition is advertised, because the company bank account freezes unde"
LOW,26139_company-cash-flow-problems.html,IP (insolvency practitioner),6836,3,yes,no,no,no,on whether the underlying business is viable if historic debt is restructured. A licensed IP answers that question from the management accounts in an hour. Directors' Duties and Personal Liabilit
LOW,26139_company-cash-flow-problems.html,Official Receiver,4603,1,yes,no,no,no,"quidation , court-ordered wind-up where the petition succeeds. Loss of director control; Official Receiver appointed; director conduct reviewed. Each stage narrows your options. The restructuring wind"
LOW,26139_company-cash-flow-problems.html,misfeasance,7338,1,no,no,no,no,"dulent trading under section 213, carrying on with intent to defraud creditors. Misfeasance under section 212, breach of specific fiduciary duty. HMRC Personal Liability Notices , unpaid NI"
LOW,26139_company-cash-flow-problems.html,moratorium,6430,1,no,no,no,no,"g to trade. Requires 75% creditor approval by value. Administration , statutory moratorium while administrator pursues rescue or sale. Creditors' Voluntary Liquidation (CVL) , orderly wind-d"
LOW,26139_company-cash-flow-problems.html,statutory demand,3569,3,yes,no,no,no,g or being withdrawn. Directors injecting personal cash to fund payroll. A statutory demand received from any creditor. Any one of these is a reason to look at your forecast. Two or three to
LOW,26218_business-debt-advice.html,CVL,5876,1,yes,no,no,no,to service old debt You're considering closing the company and want to know whether a CVL or a strike-off is the right route Insolvency practitioners are licensed by recognised professional b
LOW,26218_business-debt-advice.html,Time to Pay,991,11,yes,no,no,no,"t, the next quarter, would fix it. It rarely does, and waiting forecloses options. A Time to Pay arrangement with HMRC is considerably easier to negotiate before HMRC has issued a distraint notice tha"
LOW,26218_business-debt-advice.html,advertised / advertisement (notice sense),10983,1,no,no,no,no,"demand that has gone unanswered for 21 days. A winding-up petition, once presented and advertised in the Gazette, causes most banks to freeze your business account immediately, which typically ends tr"
LOW,26218_business-debt-advice.html,presented (vs served),10969,1,no,no,no,no,"ed a statutory demand that has gone unanswered for 21 days. A winding-up petition, once presented and advertised in the Gazette, causes most banks to freeze your business account immediately, which ty"
LOW,26218_business-debt-advice.html,the Gazette,10997,1,no,no,no,no,"as gone unanswered for 21 days. A winding-up petition, once presented and advertised in the Gazette, causes most banks to freeze your business account immediately, which typically ends trading. Direct"
LOW,26234_debt-management-guide.html,Time to Pay,1271,3,yes,no,no,no,itors without enforcement powers). Deal with category 1 first. Contact HMRC for a Time to Pay arrangement . Negotiate directly with critical suppliers. Then assess whether the business is viable with 
LOW,26234_debt-management-guide.html,debenture,2627,1,no,no,no,no,"ce charges over property, and call in personal guarantees. If you have a bank loan with a debenture, the bank is your second priority. Landlord: can forfeit the lease and lock you out of your premises"
LOW,26234_debt-management-guide.html,preferential debt / creditor,3055,1,no,no,no,no,"r can petition. Employees: unpaid wages create immediate operational problems and are preferential debts in insolvency. We tell directors: the supplier who phones you five times a day may be annoying,"
LOW,26234_debt-management-guide.html,statutory demand,2860,1,no,no,no,no,"the premises, this is operationally critical. Trade creditors over £750: can serve a statutory demand and petition for compulsory liquidation . The £750 threshold is low. Almost any supplier can petit"
LOW,26234_debt-management-guide.html,wrongful trading,5228,1,no,no,no,no,"ess increases the total debt, narrows the options, and increases the director's personal wrongful trading exposure . Formal Business Debt Management Options If informal negotiation is not enough, form"
LOW,26279_cease-trading.html,CVL,8706,5,yes,no,no,no,"ections 122 and 124 of the Insolvency Act 1986, usually triggered by a creditor petition. CVL keeps the choice of liquidator with the directors. Compulsory does not. Route When it fits What"
LOW,26279_cease-trading.html,Redundancy Payments Service,17588,1,no,no,yes,no,"f the company is insolvent and cannot pay, employees can claim statutory amounts from the Redundancy Payments Service, which then ranks as a creditor in the liquidation. Do I need to notify HMRC if I "
LOW,26279_cease-trading.html,Schedule B1,19790,1,no,no,yes,no,"Statutory references draw on the Insolvency Act 1986 (sections 123, 214, 238 to 239, and Schedule B1), the Companies Act 2006 (sections 1003 to 1012 and Part 25), the Company Directors Disqualificatio"
LOW,26279_cease-trading.html,moratorium,2582,4,yes,no,no,no,"uidation (insolvent), or company administration (rescue or controlled wind-down with a moratorium). Drift is not a fifth option, although directors often try to make it one. What Does Ceased Tradin"
LOW,26279_cease-trading.html,preferential debt / creditor,6096,1,no,no,no,no,"ns: who they are, what they are owed, and what status they hold. Secured lenders, HMRC as preferential creditor for PAYE and VAT, and unsecured trade suppliers each behave differently when a company s"
LOW,26279_cease-trading.html,statutory demand,4765,1,no,no,no,no,"has unpaid suppliers chasing payment, has an outstanding bounce back loan, or is facing a statutory demand, ceasing trade as a self-help measure tends to make matters worse. HMRC and bank creditors wi"
LOW,26279_cease-trading.html,the Gazette,7428,1,no,no,no,no,"a DS01 is cheap and quick. Filing fee is modest, processing takes around two months on the gazette, and the company is removed from the register. The cost of getting it wrong is much higher than the c"
LOW,26298_misfeasance.html,Official Receiver,4483,1,no,no,no,no,"feasance Claim Against a Director? Section 212 allows claims to be brought by: the official receiver, the liquidator, any creditor of the company, or any contributory (shareholder). In practice, the l"
LOW,26347_cant-pay-business-rates.html,CVA,10481,2,yes,no,no,no,"We can work out whether your business is viable if the historic debt is addressed through CVA, whether administration produces a better outcome, or whether a CVL is the cleaner route. Our licensed"
LOW,26347_cant-pay-business-rates.html,CVL,10549,2,yes,no,no,no,"is addressed through CVA, whether administration produces a better outcome, or whether a CVL is the cleaner route. Our licensed IPs and business rescue specialists can assess your position and ex"
LOW,26347_cant-pay-business-rates.html,advertised / advertisement (notice sense),12070,1,no,no,no,no,"not produced payment. The petition is a serious step, it freezes company bank accounts on advertisement, so early engagement is the much better alternative. Small Business Rate Relief is the headline "
LOW,26347_cant-pay-business-rates.html,misfeasance,11640,1,no,no,no,no,"as given (uncommon on rates), or through insolvency misconduct routes (wrongful trading, misfeasance ). Partnerships and sole traders are different: the ratepayer is personally liable from the outset."
LOW,26347_cant-pay-business-rates.html,moratorium,9782,1,no,no,no,no,"g to trade. Requires 75% creditor approval by value. Administration , a statutory moratorium against creditor action while a rescue or sale is pursued. Creditors' Voluntary Liquidation , orderly"
LOW,26888_stop-or-avoid-insolvency.html,IP (insolvency practitioner),11395,2,yes,no,no,no,ission. Larger or more complex cases can take several weeks and may require accountant or IP support. Current-period returns must be up to date before HMRC will agree TTP on older arrears. Se
LOW,26888_stop-or-avoid-insolvency.html,Schedule B1,12768,1,no,no,no,no,"eferences are drawn from the Insolvency Act 1986 (sections 123, 127, 214, Part 1 on CVAs, Schedule B1), the Corporate Insolvency and Governance Act 2020 (Part A1 Moratorium), and the Insolvency (Engla"
LOW,26888_stop-or-avoid-insolvency.html,moratorium,5065,9,yes,no,no,no,"so the call you make matters. Formal Tools That Can Stop Insolvency Short: CVA and Moratorium When the informal options are exhausted but the business is still viable, two formal tools can halt th"
LOW,26888_stop-or-avoid-insolvency.html,officeholder / office-holder,13044,1,no,no,no,no,"re a CVA, moratorium, administration, or CVL is the right outcome, we act as the licensed officeholder under separate engagement. Our 0800 number is a free confidential consultation, not a transaction"
LOW,26888_stop-or-avoid-insolvency.html,the Gazette,6804,1,no,no,no,no,"and, after 21 days, petition for your company's winding-up. The petition is advertised in the London Gazette seven business days after presentation, and from that moment section 127 of the Insolvency "
LOW,26888_stop-or-avoid-insolvency.html,winding-up order (vs petition),9250,1,no,no,no,no,"e, because a creditors' voluntary liquidation caught early preserves optionality that a winding-up order does not. Your Next Step on Stopping or Avoiding Insolvency The real problem is rarely the numb"
LOW,26888_stop-or-avoid-insolvency.html,wrongful trading,8136,1,yes,no,no,no,"g to fight make things worse?"". Section 214 of the Insolvency Act 1986 creates the wrongful trading offence. A director who continues trading after the point at which there was no reasonable prospect "
LOW,26902_biggest-struggles-for-small-business-owners.html,IP (insolvency practitioner),12140,1,yes,no,no,no,"ds being delayed, HMRC arrears accumulating, supplier pressure increasing. Early licensed-IP advice expands the options available (CVA, administration, restructuring) rather than narrowing them to liq"
LOW,26902_biggest-struggles-for-small-business-owners.html,Time to Pay,13604,1,no,no,no,no,", current Insolvency Service guidance, and HMRC published guidance on debt management and Time to Pay arrangements. Where we describe how creditor pressure plays out operationally, including the order"
LOW,26902_biggest-struggles-for-small-business-owners.html,misfeasance,12621,1,no,no,no,no,"facilities, overdrawn director's loan accounts, wrongful or fraudulent trading findings, misfeasance claims, and HMRC Personal Liability Notices. Ordinary business failure in a properly-run limited co"
LOW,26902_biggest-struggles-for-small-business-owners.html,moratorium,9250,1,no,no,no,no,"istoric debt over 3–5 years while continuing to trade. Administration , statutory moratorium against creditor action while rescue or sale is pursued. Creditors' Voluntary Liquidation (CVL) , ord"
LOW,26902_biggest-struggles-for-small-business-owners.html,wrongful trading,8724,1,yes,no,no,no,"ing every step a reasonably diligent director would take to minimise creditor losses, is wrongful trading . The remedy is a personal contribution order against you under section 214 of the Insolvency "
LOW,28526_personal-liability-spouses-business-debts.html,IP (insolvency practitioner),12184,1,yes,no,no,no,"k cleared at the time. That is a paperwork-led argument, and the sooner a solicitor or an IP reviews the bundle, the sooner you know where the defence sits. Leaving it until the bank has issued procee"
LOW,28526_personal-liability-spouses-business-debts.html,served / service,9773,1,no,no,no,no,"nst you if creditors come calling. Once a PG is called or a statutory demand is served on your spouse personally, the protective window is narrower. The focus shifts to the Etridge defence, to bank"
LOW,28545_personally-liabilty-of-company-secretary.html,officeholder / office-holder,7683,1,no,no,no,no,"ps each route to the statutory basis, the typical financial scale, and what the lender or office-holder can pursue. Trigger Statutory or contract basis Typical scale What is at risk Personal gua"
LOW,28545_personally-liabilty-of-company-secretary.html,wrongful trading,7128,1,no,no,no,no,"g assets to a connected company. Section 213 (fraudulent trading) and section 214 (wrongful trading) of the Insolvency Act 1986 both reach officers other than directors where they ""knowingly"" particip"
LOW,28761_corporation-tax-penalties.html,CVA,10583,1,no,no,no,no,"ce signals that formal process is on the table, and partly because we can model whether a CVA or administration produces a better result for everyone. Your Next Step on Corporation Tax Penalties"
LOW,28761_corporation-tax-penalties.html,IP (insolvency practitioner),13806,1,yes,no,no,no,"tax debt, statutory demand, winding-up petition, and the full enforcement toolkit. Early IP advice is the right call in that position. Methodology and Disclosure This guide is writt"
LOW,28761_corporation-tax-penalties.html,Time to Pay,10139,2,no,no,no,no,"pany cannot pay the underlying tax and accumulating penalties, HMRC can refuse a standard Time to Pay arrangement. At that point your next steps move onto the enforcement track: HMRC enforcement , pot"
LOW,28761_corporation-tax-penalties.html,distraint / distrain,2253,1,no,no,no,no,"If you ignore any of these, the escalation path leads to HMRC enforcement action , distraint, statutory demand , and eventually a winding-up petition . The penalties are not collected through a"
LOW,28761_corporation-tax-penalties.html,wrongful trading,12442,1,no,no,no,no,"al Liability Notices for unpaid NIC under the Social Security Administration Act 1992, or wrongful trading findings in subsequent insolvency where continued trading worsened creditor losses. What is t"
LOW,29543_lpa-receivership.html,IP (insolvency practitioner),6761,3,yes,no,no,no,se. Directors remain in office. The receiver owes primary duty to the lender. No licensed IP is required. Appointment is fast and contractual. No court involvement. Administration under Schedule
LOW,29543_lpa-receivership.html,IVA,11661,1,no,no,no,no,"The window to restructure (refinance the PG, negotiate a capped settlement, consider an IVA, or look at wider business restructuring ) is typically three to six months from appointment to sale. I"
LOW,29543_lpa-receivership.html,misfeasance,4798,1,no,no,no,no,"s contracts in the way an administrator can under Schedule B1 IA 1986. They cannot pursue misfeasance claims against directors. Their remit is the charged property and nothing more. Receiver Duties, C"
LOW,29543_lpa-receivership.html,moratorium,7044,1,no,no,no,no,"ol. The administrator is a licensed IP with duties to all creditors. There is a statutory moratorium on enforcement by other creditors. The goal is company rescue, a better outcome than liquidation, o"
LOW,29543_lpa-receivership.html,officeholder / office-holder,6455,1,no,no,no,no,"ation These three procedures are often confused because they all involve an external office-holder taking control of assets, but they operate on different scales and different legal bases. LPA receive"
LOW,29543_lpa-receivership.html,preferential debt / creditor,7189,1,no,no,no,no,"goal is company rescue, a better outcome than liquidation, or distribution to secured and preferential creditors. Appointment can be by court or out-of-court, but is subject to the Insolvency Act fram"
LOW,31199_business-restructuring.html,CVL,1827,1,no,no,no,no,"e underlying problem, the company is not restructurable. It needs to be closed through a CVL or will face compulsory liquidation . We are honest about this because we see directors pursue restr"
LOW,31199_business-restructuring.html,IP (insolvency practitioner),4089,3,yes,no,no,no,"val by value. The company continues to trade under your control, supervised by a licensed IP. We find CVAs work well for businesses with a viable core and a specific, identifiable debt problem. S"
LOW,31199_business-restructuring.html,Time to Pay,1137,5,yes,no,no,no,"rom lightest to most formal: Tier 1, Informal: Direct creditor negotiation, HMRC Time to Pay, invoice finance, refinancing, cost reduction, and operational changes. No statutory framework, no public r"
LOW,31199_business-restructuring.html,wrongful trading,2035,1,yes,no,no,no,"ing options that delay the inevitable, accumulate more debt, and increase their personal wrongful trading exposure . Tier 1: Informal Business Restructuring Informal restructuring is the first step an"
LOW,31237_cant-pay-a-commercial-lease-or-rent.html,Official Receiver,4751,1,no,no,no,no,"petition . Court fee for a winding-up petition is £352, with a deposit of £2,600 for the Official Receiver (current figures). Advertisement in The Gazette freezes company bank accounts. County Court C"
LOW,31237_cant-pay-a-commercial-lease-or-rent.html,advertised / advertisement (notice sense),4788,1,no,no,no,no,"p petition is £352, with a deposit of £2,600 for the Official Receiver (current figures). Advertisement in The Gazette freezes company bank accounts. County Court Claim For the arrears balance itself"
LOW,31237_cant-pay-a-commercial-lease-or-rent.html,preference (unlawful),6021,1,no,no,no,no,"ile knowing the rent cannot be paid and insolvency is unavoidable. Misfeasance or preference findings in subsequent insolvency, particularly where other creditors (often connected parties) were paid w"
LOW,31237_cant-pay-a-commercial-lease-or-rent.html,the Gazette,4805,1,no,no,no,no,"2, with a deposit of £2,600 for the Official Receiver (current figures). Advertisement in The Gazette freezes company bank accounts. County Court Claim For the arrears balance itself, a straightfor"
LOW,39500_what-is-a-high-court-writ.html,IP (insolvency practitioner),9460,1,yes,no,no,no,"int have shifted toward creditor interests under BTI v Sequana , and engaging a licensed IP is the right response. Our team handles exactly this scenario regularly, and the earlier you call us, the mo"
LOW,39500_what-is-a-high-court-writ.html,disposition,10537,1,no,no,no,no,"ceeds. Winding-up petition . Once a petition is advertised, section 127 makes any disposition of company property void unless validated. HCEO continuing to enforce after advertisement risks the sale b"
LOW,39500_what-is-a-high-court-writ.html,moratorium,8700,9,yes,no,no,no,"ia . An administration appointment, pre-pack or otherwise, creates an immediate statutory moratorium under Schedule B1 paragraph 43 that stops the HCEO from continuing. A CVA with moratorium, or the P"
LOW,41082_can-personal-assets-of-directors-be-seized-from-a-ltd-company.html,preference (unlawful),6608,1,no,no,no,no,"n, plan to repay before the company enters insolvency. Repaying during insolvency creates preference risk, so act early. Stop trading on time. A shorter period of wrongful trading means a smaller cont"
LOW,41082_can-personal-assets-of-directors-be-seized-from-a-ltd-company.html,transaction at an undervalue,9326,1,no,no,no,no,"nsolvency Act 1986 (section 214 wrongful trading; Part IX bankruptcy; sections 339 to 342 transactions at undervalue), HMRC personal liability notice provisions, the Taking Control of Goods Regulation"
LOW,42739_what-happens-if-a-company-cannot-pay-its-debts.html,Time to Pay,7612,3,yes,no,no,no,"ry cash gap or one large creditor causing the pressure, an informal arrangement may hold. Time to Pay with HMRC is the most common. Bilateral forbearance with a landlord or trade creditor works where "
LOW,42739_what-happens-if-a-company-cannot-pay-its-debts.html,advertised / advertisement (notice sense),6769,1,no,no,no,no,"Creditor pressure is the third diagnostic. A statutory demand, a winding-up petition advertised in the Gazette, or a single creditor refusing further forbearance is an external signal that the cash-fl"
LOW,42739_what-happens-if-a-company-cannot-pay-its-debts.html,the Gazette,6783,1,no,no,no,no,"pressure is the third diagnostic. A statutory demand, a winding-up petition advertised in the Gazette, or a single creditor refusing further forbearance is an external signal that the cash-flow test w"
LOW,43522_unenforceable-personal-guarantee.html,IP (insolvency practitioner),13958,1,yes,no,no,no,"ory firm. Where a called PG sits alongside company insolvency, we can act as the licensed IP under separate engagement. The 0800 number is a free confidential consultation; nothing is charged until a "
LOW,43522_unenforceable-personal-guarantee.html,misfeasance,10446,1,no,no,no,no,e shows up in any subsequent insolvency review and converts the guarantee problem into a misfeasance or preference claim stacked on top. The guarantee is bad. The guarantee plus a director-conduct fin
LOW,43522_unenforceable-personal-guarantee.html,preference (unlawful),10462,1,no,no,no,no,y subsequent insolvency review and converts the guarantee problem into a misfeasance or preference claim stacked on top. The guarantee is bad. The guarantee plus a director-conduct finding is signific
LOW,43522_unenforceable-personal-guarantee.html,rescind / rescission,1911,3,yes,no,no,no,"nt. Where the false statement was material to your decision to sign, the guarantee can be rescinded. Duress or undue influence. The guarantee was signed under pressure that went beyond ordinary commer"
LOW,43580_directors-liability-for-bounce-back-loans.html,IP (insolvency practitioner),4772,7,yes,no,no,no,patterns are readily visible in the bank statements and both are standard findings in our IP reviews. Separate personal guarantees on other borrowing This is the one most commonly missed.
LOW,43675_what-happens-if-i-default.html,IP (insolvency practitioner),16970,1,yes,no,no,no,"isory firm; where a CVL or Administration is the right answer, we can act as the licensed IP under separate engagement. The 0800 number is a free confidential consultation."
LOW,43675_what-happens-if-i-default.html,Official Receiver,8655,1,yes,no,no,no,"ersation. Inside liquidation: A licensed Insolvency Practitioner (or the Official Receiver) reviews company books and bank statements. Director conduct is assessed, with particular focus on how"
LOW,43675_what-happens-if-i-default.html,Time to Pay,15763,1,yes,no,no,no,Strike-Off and Dissolution : why striking off with a live BBL does not work. HMRC Time to Pay : if there are tax arrears alongside the loan. Methodology and Disclosure This guide is writt
LOW,43675_what-happens-if-i-default.html,officeholder / office-holder,2756,1,no,no,no,no,early advice reduce exposure more than any clever restructure. Regulators and insolvency officeholders treat proactive correction very differently from evasion. What the Bounce Back Loan Government G
LOW,43675_what-happens-if-i-default.html,transaction at an undervalue,16250,1,no,no,no,no,"trading under section 214, misfeasance under section 212, preferences under section 239, transactions at undervalue under section 238) and the Company Directors Disqualification Act 1986. We also draw"
LOW,43675_what-happens-if-i-default.html,wrongful trading,16152,1,no,no,no,no,"les as at the last-reviewed date. Our statutory references are the Insolvency Act 1986 (wrongful trading under section 214, misfeasance under section 212, preferences under section 239, transactions a"
LOW,43745_dissolving-a-company-with-bounce-back-loan.html,IP (insolvency practitioner),6894,2,yes,no,no,no,"enditure or to clear a director's loan account, that is the conversation to have with the IP before the liquidation begins, not after. Correct what can be corrected. If the application overstat"
LOW,43745_dissolving-a-company-with-bounce-back-loan.html,misfeasance,9722,1,yes,no,no,no,"here inflated turnover on the application amounts to fraud, or where wrongful trading or misfeasance is found during the CVL investigation. Yes, materially. Use of BBL funds for personal expenditure"
LOW,43745_dissolving-a-company-with-bounce-back-loan.html,wrongful trading,9701,1,yes,no,no,no,"nds is established, where inflated turnover on the application amounts to fraud, or where wrongful trading or misfeasance is found during the CVL investigation. Yes, materially. Use of BBL funds for p"
LOW,43917_cant-afford-to-repay-business-loan.html,Schedule B1,2772,1,no,no,no,no,"r a qualifying floating-charge holder, out-of-court appointment of an administrator under Schedule B1 of the Insolvency Act 1986 . Director Liabilities and Personal Guarantees on a Business Loan A"
LOW,43917_cant-afford-to-repay-business-loan.html,Time to Pay,11235,1,yes,no,no,no,", current Insolvency Service guidance, and HMRC published guidance on debt management and Time to Pay arrangements. Where we describe how creditor pressure plays out operationally, including the order"
LOW,43917_cant-afford-to-repay-business-loan.html,moratorium,6622,1,no,no,no,no,"ans sit outside unless the secured creditor agrees). Administration , statutory moratorium, rescue or sale of the business. Creditors' Voluntary Liquidation (CVL) , orderly wind-down where t"
LOW,43917_cant-afford-to-repay-business-loan.html,preference (unlawful),3867,1,no,no,no,no,"on with intent to defraud creditors . Misfeasance under section 212, including preference payments where a connected-party creditor (often the director's own loan account) was paid ahead of the lende"
